title,id,genre,release_date,budget,revenue,vote_average
Intolerance,3059,Drama,1916.0,385907,8394751,7.4
The Big Parade,3060,Drama,1925.0,245000,22000000,7.0
Metropolis,19,Drama,1927.0,92620000,650422,8.0
The Broadway Melody,65203,Drama,1929.0,379000,4358000,5.0
Hell's Angels,22301,Action,1930.0,3950000,8000000,6.1
42nd Street,3062,Music,1933.0,439000,2281000,6.1
She Done Him Wrong,43595,Comedy,1933.0,200000,2200000,5.1
It Happened One Night,3078,Comedy,1934.0,325000,4500000,7.7
Top Hat,3080,Comedy,1935.0,609000,3202000,7.4
The Charge of the Light Brigade,43884,Action,1936.0,1200000,2736000,6.8
Snow White and the Seven Dwarfs,408,Fantasy,1937.0,1488423,184925486,6.9
Alexander's Ragtime Band,43839,Drama,1938.0,2000000,4000000,4.8
You Can't Take It With You,34106,Comedy,1938.0,1644736,7433101,7.2
The Wizard of Oz,630,Adventure,1939.0,2777000,33754967,7.4
Mr. Smith Goes to Washington,3083,Comedy,1939.0,1500000,9600000,7.9
Gone with the Wind,770,Drama,1939.0,4000000,400176459,7.7
Rebecca,223,Drama,1940.0,1288000,6000000,7.7
Pinocchio,10895,Animation,1940.0,2600000,84300000,6.9
Fantasia,756,Animation,1940.0,2280000,83320000,7.2
Boom Town,55604,Adventure,1940.0,2000000,9172000,6.5
How Green Was My Valley,43266,Drama,1941.0,1250000,6000000,6.8
Bambi,3170,Animation,1942.0,858000,267447150,6.8
Casablanca,289,Drama,1942.0,878000,10462500,7.9
A Guy Named Joe,43306,Drama,1944.0,2627000,5363000,6.0
Bathing Beauty,43546,Comedy,1944.0,2361000,6892000,7.0
The Valley of Decision,43610,Drama,1945.0,2160000,9132000,5.8
The Lost Weekend,28580,Drama,1945.0,1250000,11000000,7.4
Spellbound,4174,Drama,1945.0,1500000,7000000,7.3
It's a Wonderful Life,1585,Drama,1946.0,3180000,9644124,8.0
Duel in the Sun,32275,Western,1946.0,6000000,20400000,6.2
The Best Years of Our Lives,887,Drama,1946.0,2100000,23650000,7.6
Gentleman's Agreement,33667,Drama,1947.0,2000000,7800000,6.8
The Pirate,35032,Music,1948.0,3700000,2956000,6.6
Red River,3089,Western,1948.0,3000000,9012000,7.3
Sands of Iwo Jima,18712,Action,1949.0,1000000,7800000,6.2
She Wore a Yellow Ribbon,13909,Western,1949.0,1600000,5400000,7.1
Annie Get Your Gun,25209,Action,1950.0,3768785,8000000,7.3
Quo Vadis,11620,Drama,1951.0,8250000,30000000,7.0
A Streetcar Named Desire,702,Drama,1951.0,1800000,8000000,7.6
Show Boat,17820,Music,1951.0,2300000,11000000,6.9
Singin' in the Rain,872,Comedy,1952.0,2540800,7200000,7.8
The Greatest Show on Earth,27191,Action,1952.0,4000000,36000000,6.6
High Noon,288,Western,1952.0,730000,8000000,7.6
"The Beast from 20,000 Fathoms",35073,Adventure,1953.0,210000,5000000,6.7
Niagara,19997,Crime,1953.0,1250000,8500000,6.7
From Here to Eternity,11426,War,1953.0,1650000,30500000,7.2
The Robe,29912,Drama,1953.0,4100000,36000000,6.4
The Egyptian,24973,History,1954.0,5000000,15000000,6.0
Seven Samurai,346,Action,1954.0,2000000,271841,8.2
On the Waterfront,654,Crime,1954.0,910000,9600000,8.0
"20,000 Leagues Under the Sea",173,Adventure,1954.0,5000000,28200000,6.8
The Trouble with Harry,11219,Comedy,1955.0,1200000,7000000,6.9
Trapeze,40494,Drama,1956.0,4000000,14400000,6.4
Love Me Tender,39833,Drama,1956.0,1000000,9000000,5.5
Moby Dick,10339,Adventure,1956.0,4500000,10400000,6.9
The Bridge on the River Kwai,826,Drama,1957.0,3000000,33300000,7.7
12 Angry Men,389,Drama,1957.0,350000,1000000,8.2
Cat on a Hot Tin Roof,261,Drama,1958.0,3000000,17570324,7.6
Some Like It Hot,239,Comedy,1959.0,2883848,25000000,8.0
The Nun's Story,27029,Drama,1959.0,3500000,12800000,7.4
Solomon and Sheba,29996,Drama,1959.0,5000000,12200000,5.4
Elmer Gantry,22013,Drama,1960.0,3000000,10400000,7.3
The Apartment,284,Comedy,1960.0,3000000,25000000,8.1
Psycho,539,Drama,1960.0,806948,32000000,8.2
Pocketful of Miracles,248,Comedy,1961.0,2900000,5000000,7.3
Judgment at Nuremberg,821,Drama,1961.0,3000000,10000000,7.6
The Hustler,990,Drama,1961.0,2000000,7600000,7.6
West Side Story,1725,Crime,1961.0,6000000,43656822,7.0
The Misfits,11536,Drama,1961.0,4000000,8200000,6.8
The Man Who Shot Liberty Valance,11697,Western,1962.0,3200000,8000000,7.4
To Kill a Mockingbird,595,Crime,1962.0,2000000,13129846,8.0
Lolita,802,Drama,1962.0,2000000,9250000,7.3
The Longest Day,9289,Action,1962.0,10000000,50100000,7.2
Lawrence of Arabia,947,Adventure,1962.0,15000000,69995385,7.8
Dr. No,646,Adventure,1962.0,950000,59600000,6.9
Cleopatra,8095,Drama,1963.0,31115000,71000000,6.7
"It's a Mad, Mad, Mad, Mad World",11576,Action,1963.0,9400000,60000000,7.0
From Russia with Love,657,Action,1963.0,2000000,78898765,6.9
